farm_id,season,mean_ndvi,max_ndvi,std_ndvi,early_ndvi,late_ndvi,total_rain,mean_temp,rainy_dekads,lat,lon,area_m2
farm_choma,2024,0.26164881088301467,0.3533213489244645,0.1305176683646396,0.19225840944715214,0.33103921231887723,297.68,22.543646408839777,6,-16.81282,26.98764,10000
farm_choma,2025,0.34651626426354515,0.4580569059633728,0.12593979185751727,0.3732079137156848,0.24984303650887818,446.52,22.543646408839777,9,-16.81282,26.98764,10000
farm_chozi,2024,0.6013636967997585,0.6013636967997585,0.1,0.6013636967997585,0.6013636967997585,94.60833333333332,19.947513812154696,1,-9.325765,32.681425,10000
farm_chozi,2025,0.5334787202891246,0.663974793300434,0.13526624466593573,0.6573521771625366,0.47056099262228,1040.6916666666666,19.947513812154693,11,-9.325765,32.681425,10000
farm_kafue,2024,0.46910834884014496,0.5492169820386695,0.09762262465148197,0.5109891199465767,0.4787603232902882,241.2923076923077,24.348618784530384,4,-15.7691,28.1811,11000
farm_kafue,2025,0.5326641367772037,0.5628234789748836,0.029172140931608866,0.5523205620584553,0.5034994822532496,542.9076923076923,24.348618784530384,9,-15.7691,28.1811,11000
farm_kapiri,2024,0.44523599886320825,0.5011042731446917,0.05261253797136488,0.41366246978281557,0.47645965765053494,288.29999999999995,22.714917127071825,5,-13.9897,28.6602,13000
farm_kapiri,2025,0.5664298760015325,0.688065542343101,0.10851599538166229,0.5058844993435035,0.5459519848749651,576.5999999999999,22.714917127071825,10,-13.9897,28.6602,13000
farm_kasumbalesa,2024,0.1518389243066209,0.1994112708397594,0.03711861656531037,0.12331551709478798,0.18036233151845382,448.47999999999996,21.549171270718237,6,-12.1975,27.79778,12000
farm_kasumbalesa,2025,0.1440063364080747,0.1902330488969104,0.05522811795127227,0.11279838722483913,0.14027851918818948,672.7199999999999,21.549171270718237,9,-12.1975,27.79778,12000
farm_mansa,2024,0.289345264253631,0.3355564830403097,0.05104898656348083,0.2739415246580714,0.30198626222940766,254.08571428571426,22.541988950276245,4,-11.1998,28.8943,9000
farm_mansa,2025,0.288414370503692,0.4480949211180214,0.12246522498137316,0.3798431624246181,0.18680869633336464,635.2142857142857,22.541988950276245,10,-11.1998,28.8943,9000
farm_mkushi,2024,0.4950667295610677,0.5960463557314567,0.09544721992486918,0.4407973585996097,0.560688791298431,334.3,22.706077348066295,5,-13.972706,29.60355,12000
farm_mkushi,2025,0.542461053627529,0.5975711647977731,0.04491598301409205,0.5678028892257826,0.5128181555501675,334.3,22.706077348066295,5,-13.972706,29.60355,12000
farm_mumbwa,2024,0.5184793073482642,0.5642284205769161,0.06313179550679798,0.4861197450832068,0.5508388696133214,288.70588235294116,23.502209944751375,6,-14.98293,27.0619,15000
farm_mumbwa,2025,0.4757607548064984,0.5534651788314898,0.07851222281845185,0.5390301544178845,0.36754011089881183,529.2941176470588,23.502209944751375,11,-14.98293,27.0619,15000
farm_serenje,2024,0.2538492737592117,0.388265361168947,0.2231738248070684,0.2538492737592117,0.2538492737592117,246.92727272727274,21.914917127071828,3,-13.35,30.2,10000
farm_serenje,2025,0.46439063025193283,0.616521345307488,0.0836788185464384,0.4491746807644223,0.4550730042847048,658.4727272727273,21.914917127071824,8,-13.35,30.2,10000
farm_tara,2024,0.2845928174564337,0.433835197212858,0.1020892614685567,0.2110584459118708,0.35812718900099655,273.0,22.433149171270717,6,-16.95,26.7833,8000
farm_tara,2025,0.3865607280459763,0.6357652069127863,0.14610028827347926,0.5143891784805458,0.22341963317195535,409.5,22.43314917127072,9,-16.95,26.7833,8000
