feature,importance
mean_ndvi,0.30715776214391355
max_ndvi,0.22732104581506576
late_ndvi,0.15503690440157586
early_ndvi,0.11237568445292681
std_ndvi,0.06651488625505907
mean_temp,0.050178486292679673
total_rain,0.04653674802688603
rainy_dekads,0.034878482611893184
