farm_id,dekad,ndvi,cloud_cover_pct,precipitation_mm,temperature_c,lat,lon,area_m2
farm_choma,2024-11-1,0.2615189468235656,1.417779,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2024-11-2,0.002495412594003189,29.997718,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2024-11-3,0.3127608689238877,2.48387,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2024-12-1,0.3096136474736144,10.00995,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2024-12-2,0.33018264055855295,11.753118,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2024-12-3,0.3533213489244645,15.909907,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-01-3,0.45805690596337284,23.420762,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-03-3,0.28439291986603604,4.953921,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-04-1,0.37717391531764566,11.854902500000001,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-05-1,0.4173354058319714,8.2938145,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-05-2,0.4359100713163529,6.4688680000000005,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-05-3,0.39624805054989326,2.667087,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-06-1,0.04000717173005821,23.116486,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-06-2,0.361183776422181,0.6889824999999999,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_choma,2025-06-3,0.3483381613743953,0.0019175,49.61333333333333,22.543646408839777,-16.81282,26.98764,10000
farm_chozi,2024-12-2,0.6013636967997585,10.411738,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-02-1,0.6569544729217047,26.032797,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-02-2,0.651127265265471,17.594389,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-03-1,0.663974793300434,11.025786,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-03-3,0.4426922098742907,26.532748,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-04-1,0.2260585978374489,27.764434,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-04-2,0.6570021963699296,16.683766,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-05-2,0.5982589088397783,5.578528,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-05-3,0.5605145009044733,17.57250433333333,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-06-1,0.5065649639408282,5.988573333333332,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-06-2,0.45955096336206414,6.204102,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_chozi,2025-06-3,0.4455670505639477,1.601627,95.05,20.019337016574585,-9.325765,32.681425,10000
farm_kafue,2024-11-1,0.44015242548971517,28.671864,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2024-11-2,0.5435979523113456,1.068646,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2024-12-1,0.5492169820386695,2.127372,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2024-12-2,0.3434660355208496,10.957395333333332,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-02-1,0.5541727702672465,2.582403,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-03-3,0.5399654369332357,9.184258333333332,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-04-1,0.5628234789748836,20.125441,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-04-3,0.5424178668798547,10.545486,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-05-1,0.5342874172982004,9.051221,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-05-2,0.5498118138816621,1.568266,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-06-1,0.5384267613361807,4.011372,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-06-2,0.50348831609725,2.0452185000000003,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kafue,2025-06-3,0.46858336932631833,0.6180813333333334,60.323076923076925,24.348618784530384,-15.7691,28.1811,11000
farm_kapiri,2024-11-1,0.3663589538821571,2.594486,57.66,22.714917127071825,-13.9897,28.6602,13000
farm_kapiri,2024-11-2,0.4304420674822795,2.733783,57.66,22.714917127071825,-13.9897,28.6602,13000
farm_kapiri,2024-11-3,0.44418638798401033,29.529104,57.66,22.714917127071825,-13.9897,28.6602,13000
