farm_id,season,mean_ndvi,max_ndvi,std_ndvi,early_ndvi,late_ndvi,total_rain,mean_temp,rainy_dekads,lat,lon
farm_choma,2024,0.31256928291133307,0.45805690596337284,0.1303812823106292,0.19225840944715214,0.24984303650887818,744.2,22.543646408839777,15,-16.81282,26.98764
farm_chozi,2024,0.5391358016650106,0.663974793300434,0.13045163111276023,0.6364818116623114,0.47056099262228,1135.3,19.947513812154693,12,-9.325765,32.681425
farm_kafue,2024,0.513108509719647,0.5628234789748836,0.062306032720233696,0.5109891199465767,0.5034994822532497,784.1999999999998,24.348618784530384,13,-15.7691,28.1811
farm_kapiri,2024,0.5260319169554245,0.688065542343101,0.10889498897789444,0.41366246978281557,0.5459519848749651,864.8999999999997,22.714917127071825,15,-13.9897,28.6602
farm_kasumbalesa,2024,0.14713937156749327,0.19941127083975946,0.04744242867308321,0.12331551709478805,0.14027851918818957,1121.1999999999998,21.54917127071824,15,-12.1975,27.79778
farm_mansa,2024,0.28868034014653177,0.44809492111802146,0.10480753604360207,0.2739415246580715,0.18680869633336472,889.3000000000001,22.54198895027624,14,-11.1998,28.8943
farm_mkushi,2024,0.5187638915942984,0.5975711647977731,0.0746294730059602,0.4407973585996097,0.5128181555501675,668.6,22.706077348066295,10,-13.972706,29.60355
farm_mumbwa,2024,0.4908378909977098,0.5642284205769161,0.07443731302189066,0.4861197450832068,0.36754011089881183,818.0,23.502209944751378,17,-14.98293,27.0619
farm_serenje,2024,0.40697026029937255,0.616521345307488,0.1566342955780547,0.2538492737592117,0.4550730042847048,905.3999999999999,21.91491712707182,11,-13.35,30.2
farm_tara,2024,0.3457735638101592,0.6357652069127863,0.13635674786820773,0.21105844591187084,0.22341963317195535,682.5,22.433149171270717,15,-16.95,26.7833
